Date,Stock,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs),sma_short,sma_long,signal,buy_sell_qty,buy_sell_qty_value,positions_carry_qty,position_carry_val,stock_value,cash,position_total,portfolio_returns,mkt_returns
2004-11-12,TCS,1204.0,1208.0,1190.2,1191.85,1196.75,226676.0,2719.66,1159.1600000000003,1074.115789473684,0.0,0.0,0.0,1.0,1048.4,1196.75,-48.40000000000009,1148.35,0.04355969856688624,0.04179728317659226
2004-11-16,TCS,1198.0,1198.0,1184.0,1191.0,1190.9,500688.0,5960.88,1162.4050000000004,1076.1293103448274,0.0,0.0,0.0,1.0,1048.4,1190.9,-48.40000000000009,1142.5,-0.5094265685548716,-0.4888238980572335
2004-11-17,TCS,1191.5,1209.9,1191.5,1207.0,1205.4,683492.0,8235.96,1165.8125000000005,1078.3203389830505,0.0,0.0,0.0,1.0,1048.4,1205.4,-48.40000000000009,1157.0,1.269146608315097,1.217566546309512
2004-11-18,TCS,1209.45,1234.55,1206.5,1231.0,1231.0,934016.0,11387.05,1170.2025000000006,1080.8649999999998,0.0,0.0,0.0,1.0,1048.4,1231.0,-48.40000000000009,1182.6,2.2126188418323256,2.1237763398042064
2004-11-19,TCS,1233.0,1237.0,1211.1,1214.0,1217.1,851595.0,10437.38,1174.3950000000004,1083.0983606557375,0.0,0.0,0.0,1.0,1048.4,1217.1,-48.40000000000009,1168.6999999999998,-1.175376289531549,-1.1291632818846487
2004-11-22,TCS,1207.8,1226.0,1195.0,1226.0,1222.45,592284.0,7198.98,1179.2400000000005,1085.3459677419353,0.0,0.0,0.0,1.0,1048.4,1222.45,-48.40000000000009,1174.05,0.4577735945922923,0.4395694684085294
2004-11-23,TCS,1230.6,1242.0,1224.15,1239.5,1235.55,539099.0,6654.8,1185.1500000000005,1087.7301587301586,0.0,0.0,0.0,1.0,1048.4,1235.55,-48.40000000000009,1187.1499999999999,1.1157957497551108,1.0716184711031085
2004-11-24,TCS,1239.0,1245.0,1230.15,1234.0,1233.9,402913.0,4992.21,1189.9850000000006,1090.0140624999997,0.0,0.0,0.0,1.0,1048.4,1233.9,-48.40000000000009,1185.5,-0.13898833340352246,-0.13354376593418538
2004-11-25,TCS,1234.0,1244.0,1208.65,1214.0,1216.85,788859.0,9674.76,1193.8325000000004,1091.9653846153844,0.0,0.0,0.0,1.0,1048.4,1216.85,-48.40000000000009,1168.4499999999998,-1.438211725010563,-1.3817975524759052
2004-11-29,TCS,1216.0,1247.7,1205.55,1247.0,1243.9,660186.0,8133.64,1197.7300000000005,1094.2674242424239,0.0,0.0,0.0,1.0,1048.4,1243.9,-48.40000000000009,1195.5,2.315032735675482,2.2229527057566756
2004-11-30,TCS,1248.15,1286.0,1245.0,1278.0,1274.65,1313518.0,16583.64,1203.6500000000005,1096.9597014925369,0.0,0.0,0.0,1.0,1048.4,1274.65,-48.40000000000009,1226.25,2.5721455457967446,2.472063670713087
2004-12-01,TCS,1281.0,1281.0,1257.0,1258.4,1261.55,1060233.0,13420.96,1208.1950000000004,1099.3801470588232,0.0,0.0,0.0,1.0,1048.4,1261.55,-48.40000000000009,1213.1499999999999,-1.0682976554536316,-1.0277331032048087
2004-12-02,TCS,1265.0,1277.0,1239.1,1246.0,1242.6,1207213.0,15103.36,1212.3400000000004,1101.455797101449,0.0,0.0,0.0,1.0,1048.4,1242.6,-48.40000000000009,1194.1999999999998,-1.5620492107323969,-1.5021204074353034
